SurveyDate,CurrentYearDiff,OneYearDiff,TwoYearDiff,LongTermDiff,R1,R2,date,OIS_SW,OIS_1M,OIS_3M,OIS_6M,OIS_1Y,OIS_2Y,OIS_3Y,OIS_4Y,OIS_5Y,OIS_6Y,OIS_7Y,OIS_8Y,OIS_9Y,OIS_10Y,OIS_15Y,OIS_20Y,DE3M,DE6M,DE1Y,DE2Y,DE3Y,DE4Y,DE5Y,DE6Y,DE7Y,DE8Y,DE9Y,DE10Y,DE15Y,DE20Y,DE30Y,IT2Y,FR2Y,ES2Y,IT5Y,ES5Y,FR5Y,ES10Y,FR10Y,IT10Y,STOXX50,SX7E,EURUSD,EURGBP,EURJPY,1M,3M,6M,1Y,2Y,5Y,10Y,Date,ConfFactor1,ConfFactor2,ConfFactor3,oisnew,oisnew_fitted,D1,D2,D3,D4,DTY
2002-10-23,-0.3595362502040817,-0.6973196625,-0.05636413400000001,-0.0342105263157895,-0.7529090295348837,0.0042857142857143085,2002-10-10,0.0,0.249999999999995,1.2,2.0,3.2,3.50000000000001,3.50000000000001,,,,,,,,,,,,,4.8,4.149999999999969,3.54999999999999,2.85000000000002,2.70000000000001,2.25,1.84999999999995,1.65000000000006,1.7500000000000098,,1.79999999999998,1.4500000000000002,4.29999999999997,4.70000000000002,4.40000000000001,3.05,3.30000000000004,2.95000000000001,1.64999999999997,2.00000000000005,1.79999999999998,0.763963503790865,0.78561749426429,-0.0911669431053075,-0.0633312244093687,-0.0942680972324084,0.00249999999999995,0.012,0.02,0.032,0.0350000000000001,0.0285000000000002,0.0175000000000001,2002-10-10,1.14602273842402,2.5955453801268,0.0781636916756826,0.3938105502665805,3.1061894497334297,0,0,0,1,1
2003-01-27,0.5843269286538461,0.47999662060000003,0.0,0.005952380952380952,-0.1691798430612244,-0.176825685952381,2003-01-09,0.499999999999989,0.9000000000000339,1.4500000000000002,1.69999999999999,1.65000000000002,1.95000000000003,0.999999999999979,,,,,,,,,,,,,2.1500000000000097,2.34999999999999,2.0,2.0,1.9000000000000101,1.40000000000002,1.14999999999998,1.19999999999996,1.20000000000005,,1.35000000000005,1.05000000000004,1.79999999999998,2.1500000000000097,2.25,1.70000000000003,1.9000000000000101,1.69999999999999,1.25000000000002,0.999999999999979,0.750000000000028,1.0794023788801799,1.16633685192999,-0.17628705997146998,-0.0536131441632393,0.017976809963649,0.009000000000000341,0.0145,0.0169999999999999,0.0165000000000002,0.0195000000000003,0.02,0.0120000000000005,2003-01-09,1.78240371745538,0.168750159325832,0.776774744045366,0.07810936803985846,0.9218906319601206,1,0,0,0,0
2003-04-24,-0.3860869565217392,-0.1777272727272727,0.0,-0.01973684210526317,-0.24333333333333332,-0.01692307692307691,2003-04-03,-0.499999999999989,0.499999999999989,0.45000000000001694,0.500000000000034,0.499999999999989,-0.200000000000022,0.300000000000011,,,,,,,,,,,,,0.0,0.45000000000001694,-0.45000000000001694,0.0,0.09999999999998901,0.349999999999984,0.4,0.44999999999992796,0.349999999999984,,-0.200000000000067,-0.300000000000011,0.649999999999995,-0.300000000000011,0.09999999999998901,-0.15000000000000602,0.0,-0.349999999999984,0.19999999999997803,0.24999999999995,0.25000000000003897,-0.14658866358781,0.00517584948749317,0.182230267937106,0.0,0.058610922846114,0.00499999999999989,0.0045000000000001705,0.00500000000000034,0.00499999999999989,-0.00200000000000022,0.0,0.00349999999999984,2003-04-03,1.11363237364264,-1.00780946097004,0.489288823070276,-0.052207582925387463,0.35220758292539844,0,1,0,0,0
2003-07-23,-0.3806818181818182,-0.44534883720930235,0.0,-0.03593749999999996,-0.16230769230769224,-0.20151515151515148,2003-07-10,0.249999999999995,0.25000000000003897,0.749999999999984,0.999999999999979,0.0,0.249999999999995,-0.249999999999995,,,,,,,,,,,,0.700000000000012,-0.15000000000000602,0.0,0.15000000000000602,0.09999999999998901,0.0,-0.0500000000000167,-0.15000000000000602,-0.200000000000022,-0.09999999999998901,,-0.15000000000000602,-0.200000000000067,0.19999999999997803,-0.0499999999999723,0.200000000000022,0.15000000000000602,0.249999999999995,0.499999999999989,-0.149999999999961,-0.19999999999997803,-0.15000000000000602,-0.183306882059142,-0.22674234455992698,-0.030874407566886003,-0.14327676353156898,0.00374524821671329,0.00250000000000039,0.007499999999999841,0.00999999999999979,0.0,0.00249999999999995,0.00099999999999989,-0.00099999999999989,2003-07-10,1.11185490806191,-0.7327313134583141,0.10534763881123699,1.030593833998529,-1.280593833998524,0,0,1,0,0
2003-10-28,-0.19461466375,-0.04039041382978722,-0.020459591538461587,-0.00390625,0.37512790743589736,0.07428362281249999,2003-10-02,0.0,0.0500000000000167,0.800000000000001,1.7500000000000098,3.2500000000000204,4.25,3.9499999999999904,,,,,,,,,,,,2.4500000000000197,4.25,3.40000000000003,3.59999999999996,3.85000000000004,3.24999999999998,2.55000000000001,2.44999999999997,2.1500000000000097,2.14999999999996,,1.94999999999999,1.6,4.29999999999997,4.05000000000002,4.49999999999999,3.55000000000003,3.55000000000003,3.69999999999999,2.29999999999997,1.99999999999996,2.14999999999996,-0.554267323442481,-0.616551915673646,-0.158183911054319,-0.292533475355183,-0.146554077679006,0.000500000000000167,0.008000000000000009,0.0175000000000001,0.0325000000000002,0.0425,0.0385000000000004,0.0214999999999996,2003-10-02,0.27190403954742304,4.17044676212746,0.135046524036576,0.4215794028104205,3.52842059718957,0,0,0,1,1
2004-01-28,1.3288461538461538,0.561,0.0,-0.03323529411764705,0.35581395348837214,0.08378378378378377,2004-01-08,0.0,0.300000000000011,-0.500000000000034,-0.849999999999973,-1.70000000000003,-2.05000000000002,-1.50000000000001,,,,,,,,,,,,-2.04999999999997,-2.4,-2.0,-1.9000000000000101,-1.80000000000002,-1.69999999999999,-1.69999999999999,-1.40000000000002,-1.4500000000000002,-1.6,,-1.29999999999999,-1.3499999999999601,-2.0,-0.499999999999989,-1.49999999999997,-1.9000000000000101,-1.79999999999998,-1.80000000000002,-1.50000000000006,-1.39999999999993,-1.3499999999999601,-0.143809997262512,-0.389127599573325,0.6856359115751389,0.10789427408845499,0.694253869792849,0.0030000000000001102,-0.00500000000000034,-0.00849999999999973,-0.0170000000000003,-0.0205000000000002,-0.0180000000000002,-0.016,2004-01-08,-0.11023753137690802,-1.49503590100044,-0.49880780817493103,0.31652511154687635,-1.8165251115468863,1,0,0,0,0
2004-04-26,-0.17181818181818184,-0.10943396226415089,0.0,-0.05473684210526316,-0.005510204081632671,-0.09893617021276593,2004-04-01,0.499999999999989,0.0,2.25,4.2,6.00000000000001,6.00000000000001,6.00000000000001,,,,,,,,,,,,5.600000000000009,6.40000000000001,6.05000000000002,5.050000000000001,4.45000000000002,4.04999999999998,3.75000000000001,3.55000000000003,3.14999999999999,3.05,,1.55000000000003,1.05000000000004,6.44999999999998,6.70000000000002,6.350000000000009,4.70000000000002,5.45,4.49999999999999,3.00000000000002,2.99999999999998,2.89999999999999,0.061961975954805106,0.146701180616393,0.449584588455681,-0.030016509305363898,0.250029430562915,0.0,0.0225,0.042,0.0600000000000001,0.0600000000000001,0.0445000000000002,0.0305,2004-04-01,2.4380159651303996,3.93154886237338,-0.0768814520455598,0.7761530202771505,5.223846979722859,0,1,0,0,0
2004-07-26,0.15961538461538463,0.028431372549019607,0.0,-0.014133333333333343,0.12693191489361705,0.03937948717948716,2004-07-01,0.499999999999989,0.09999999999998901,-1.29999999999999,0.0,0.499999999999989,0.0,0.500000000000034,,,,,,,,,,,,0.0,0.449999999999973,0.200000000000022,0.15000000000000602,0.0,-0.09999999999998901,-0.0499999999999723,-0.0499999999999723,-0.19999999999997803,-0.0499999999999723,,-0.300000000000011,-0.15000000000000602,0.249999999999995,0.349999999999984,0.449999999999973,0.09999999999998901,-0.0500000000000167,0.0,-0.149999999999917,-0.05000000000006109,-0.100000000000033,-0.105919123006348,-0.11098992662050801,0.0,-0.0746045991034006,-0.09878420256201889,0.00099999999999989,-0.0129999999999999,0.0,0.00499999999999989,0.0,0.0,-0.000499999999999723,2004-07-01,-0.7297346332338421,1.4624182595909199,-0.580606525293843,-1.0360496655659794,1.5360496655660134,0,0,1,0,0
2004-10-21,0.12352941176470585,-0.12058823529411769,-0.04210526315789471,-0.028378378378378356,-0.10614222222222224,-0.07949999999999997,2004-10-07,-1.7500000000000098,-0.524999999999976,-2.0,-0.9749999999999931,-1.46999999999999,-1.00000000000002,-0.249999999999995,,,,,,,,,,,,0.0,-1.05,-0.550000000000006,-0.449999999999973,-0.19999999999997803,-0.15000000000000602,0.0,0.249999999999995,0.349999999999984,0.350000000000072,,0.45000000000001694,0.349999999999984,-1.05,-1.14999999999998,-0.950000000000007,-0.349999999999984,-0.600000000000023,-0.299999999999967,0.40000000000004504,0.19999999999997803,0.40000000000004504,-0.0271415858344781,0.0369685771308248,-0.00812809884215559,-0.202781066010316,-0.127954392583263,-0.00524999999999976,-0.02,-0.009749999999999929,-0.0146999999999999,-0.0100000000000002,-0.00199999999999978,0.00350000000000072,2004-10-07,-1.7770011249358002,1.09349032079456,0.415976288317803,0.7034323034231391,-0.9534323034231341,0,0,0,1,1
2005-01-26,-0.10971398637931035,0.09037063836363637,0.0,-0.02078500000000001,-0.09662703119999998,-0.036985714285714275,2005-01-13,0.0,-1.29999999999999,-0.4,-2.63499999999999,-5.29099999999998,-7.449999999999999,-7.85,,,,,,,,,,,,-4.0,-7.79999999999999,-7.499999999999971,-7.00000000000003,-7.15000000000003,-6.55000000000001,-6.09999999999999,-5.7,-5.35000000000001,-5.20000000000001,,-4.49999999999999,-4.65,-7.34999999999997,-7.85,-7.2499999999999805,-7.34999999999997,-7.25000000000002,-7.499999999999971,-5.35000000000001,-5.39999999999998,-5.29999999999999,-0.0139911923966451,0.0654258731005442,-0.19664946018770302,-0.149471539270468,-0.32844387861450397,-0.0129999999999999,-0.004,-0.0263499999999999,-0.0529099999999998,-0.0745,-0.0715000000000003,-0.0520000000000001,2005-01-13,0.0625449198028391,-6.516696730734821,-1.67631011973473,-0.501741246806299,-7.348258753193701,1,0,0,0,0
